Name,Company,OrderDateTime,OrderID,Address,Address2,City,Province,Country,PostalCode,Phone,Email,ProductName,ProductOption,UPC,SKU,Weight,Width,Length,Height,SizeUnit,WeightUnit,Quantity,Currency,ShippingMetod,ProductPrice,Tax,ShippingCharge,OrderTotal,Status,EAN,ISBN,OrderNote
John Doe,,1.56584E+12,458364073,123 Main St,,Ontario,CA,UNITED STATES,12345-1234,909-111-1111,me@me.com,ASUS TeK STRIX Z370-E GAMING ASUS Motherboard Strix Z370-E Gaming Z370 LGA1151 D,,,SYN-5994857,8,,,,,,1,,,,,,11,,,,
John Doe,,1.56584E+12,458364073,123 Main St,,Ontario,CA,UNITED STATES,12345-1234,909-111-1111,me@me.com,ASUS ROG Maximus X Hero (Wi-Fi AC) LGA1151 DDR4 DP HDMI M.2 Z370 ATX Motherboard,,,DH-ROGMAXXHEROWFCA,6,,,,,,1,,,,,,11,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field name,Description,Is required,Max length,Default value,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Name of the buyer,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,,,100,Empty string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderDateTime,Timestamp in ms,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderID,Channel order ID,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address2,,,100,Empty string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province,,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,TRUE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostalCode,,TRUE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,,,25,Empty string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductName,,TRUE,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductOption,"Option such as color, size",,512,Empty string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPC,,,12,Empty string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU,Product unique SKU,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight,Decimal format,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,Decimal format,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length,Decimal format,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Height,Decimal format,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SizeUnit,"Product dimension unit, valid values are inch, cm",,4,inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeightUnit,"Product weight unit, valid values are lb, kg and oz",,2,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantity,Decimal format,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency,Order currency,,3,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShippingMetod,,,100,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductPrice,Decimal format,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShippingCharge,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderTotal,Decimal format,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,"Order status.  Valid values are: PROCESSING, PARTIAL_SHIPPED, SHIPPED, PENDING, CANCELED, EXCEPTION, CLOSED, SUSPECTED_FRAUD, HOLD, REFUNDED, UNKNOWN",,100,PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAN,,,13,Empty string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBN,,,13,Empty string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrderNote,Order comments,,4096,Empty string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For order with multiple products, use multiple rows with the same order number.  Each row contains one product.  The sample provided above is for this scenario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version: 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
